"ref_area.label","indicator.label","source.label","time","obs_value","note_indicator.label","note_source.label"
"Canada","Trade union density rate (%)","LFS - Labour Force Survey","2015",28.59,,
"Canada","Trade union density rate (%)","LFS - Labour Force Survey","2014",28.41,,
"Canada","Trade union density rate (%)","LFS - Labour Force Survey","2013",29.19,,
"Canada","Trade union density rate (%)","LFS - Labour Force Survey","2012",29.28,,
"Canada","Trade union density rate (%)","LFS - Labour Force Survey","2011",28.98,,
"Canada","Trade union density rate (%)","LFS - Labour Force Survey","2010",29.34,,
"Switzerland","Trade union density rate (%)","ADM-RWO - Records of Affiliated and Independent Unions","2018",14.43,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","Trade union density rate (%)","ADM-RWO - Records of Affiliated and Independent Unions","2017",14.86,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","Trade union density rate (%)","ADM-RWO - Records of Affiliated and Independent Unions","2016",15.25,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","Trade union density rate (%)","ADM-RWO - Records of Affiliated and Independent Unions","2015",15.66,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","Trade union density rate (%)","ADM-RWO - Records of Affiliated and Independent Unions","2014",16.08,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","Trade union density rate (%)","ADM-RWO - Records of Affiliated and Independent Unions","2013",16.57,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","Trade union density rate (%)","ADM-RWO - Records of Affiliated and Independent Unions","2012",16.53,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","Trade union density rate (%)","ADM-RWO - Records of Affiliated and Independent Unions","2011",17.03,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","Trade union density rate (%)","ADM-RWO - Records of Affiliated and Independent Unions","2010",17.58,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","Trade union density rate (%)","ADM - Administrative registrations at the directorate of labour","2018",17.09,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","Trade union density rate (%)","ADM - Administrative registrations at the directorate of labour","2017",17.38,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","Trade union density rate (%)","ADM - Administrative registrations at the directorate of labour","2016",16.92,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","Trade union density rate (%)","ADM - Administrative registrations at the directorate of labour","2015",15.4,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","Trade union density rate (%)","ADM - Administrative registrations at the directorate of labour","2014",14.66,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","Trade union density rate (%)","ADM - Administrative registrations at the directorate of labour","2013",14.19,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","Trade union density rate (%)","ADM - Administrative registrations at the directorate of labour","2012",14.38,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","Trade union density rate (%)","ADM - Administrative registrations at the directorate of labour","2011",13.88,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","Trade union density rate (%)","ADM - Administrative registrations at the directorate of labour","2010",14.01,"Trade union membership coverage: Adjusted for the right to unionize",
"China","Trade union density rate (%)","ADM - Statistical Yearbook","2017",44.25,"Trade union membership coverage: According to the national definition of trade union",
"China","Trade union density rate (%)","ADM - Statistical Yearbook","2016",44.56,"Trade union membership coverage: According to the national definition of trade union",
"China","Trade union density rate (%)","ADM - Statistical Yearbook","2015",43.86,"Trade union membership coverage: According to the national definition of trade union",
"China","Trade union density rate (%)","ADM - Statistical Yearbook","2014",43.22,"Trade union membership coverage: According to the national definition of trade union",
"China","Trade union density rate (%)","ADM - Statistical Yearbook","2013",42.56,"Trade union membership coverage: According to the national definition of trade union",
"China","Trade union density rate (%)","ADM - Statistical Yearbook","2012",41.16,"Trade union membership coverage: According to the national definition of trade union",
"China","Trade union density rate (%)","ADM - Statistical Yearbook","2011",37.8,"Trade union membership coverage: According to the national definition of trade union",
"China","Trade union density rate (%)","ADM - Statistical Yearbook","2010",34.73,"Trade union membership coverage: According to the national definition of trade union",
"Côte d'Ivoire","Trade union density rate (%)","LFS - National Survey on the Employment Situation","2017",10.62,,
"Côte d'Ivoire","Trade union density rate (%)","LFS - National Survey on the Employment Situation","2016",9.35,,
"Côte d'Ivoire","Trade union density rate (%)","LFS - National Survey on the Employment Situation","2013",7.65,,
"Côte d'Ivoire","Trade union density rate (%)","LFS - National Survey on the Employment Situation","2012",10.93,,
"Cameroon","Trade union density rate (%)","ADM - Administrative records and related sources","2014",5.02,,
"Cameroon","Trade union density rate (%)","ADM - Administrative records and related sources","2010",5.41,,
"Congo, Democratic Republic of the","Trade union density rate (%)","LFS - Survey on Employment and household's living conditions","2012",13.56,,
"Colombia","Trade union density rate (%)","OE - Estimates based on various Administrative Records","2019",4.65,,
"Colombia","Trade union density rate (%)","OE - Estimates based on various Administrative Records","2018",4.7,,
"Colombia","Trade union density rate (%)","OE - Estimates based on various Administrative Records","2017",4.77,,
"Colombia","Trade union density rate (%)","OE - Estimates based on various Administrative Records","2016",5.25,,
"Colombia","Trade union density rate (%)","OE - Estimates based on various Administrative Records","2015",5.41,,
"Colombia","Trade union density rate (%)","OE - Estimates based on various Administrative Records","2014",5.74,,
"Colombia","Trade union density rate (%)","OE - Estimates based on various Administrative Records","2013",6.52,,
"Colombia","Trade union density rate (%)","OE - Estimates based on various Administrative Records","2012",4.27,,
"Colombia","Trade union density rate (%)","OE - Estimates based on various Administrative Records","2011",3.67,,
"Colombia","Trade union density rate (%)","OE - Estimates based on various Administrative Records","2010",3.56,,
"Comoros","Trade union density rate (%)","LFS - National Survey on Employment and the Informal Sector","2014",13.35,,
"Cabo Verde","Trade union density rate (%)","LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics","2015",20.9,,
"Costa Rica","Trade union density rate (%)","HS - National Household Survey","2019",20.54,,
"Costa Rica","Trade union density rate (%)","HS - National Household Survey","2018",19.45,,
"Costa Rica","Trade union density rate (%)","HS - National Household Survey","2017",19.33,,
"Costa Rica","Trade union density rate (%)","HS - National Household Survey","2016",19.34,,
"Costa Rica","Trade union density rate (%)","HS - National Household Survey","2015",18.58,,
"Costa Rica","Trade union density rate (%)","HS - National Household Survey","2014",12.37,,
"Costa Rica","Trade union density rate (%)","HS - National Household Survey","2013",13.72,,
"Costa Rica","Trade union density rate (%)","HS - National Household Survey","2012",13.14,,
"Costa Rica","Trade union density rate (%)","HS - National Household Survey","2011",13.37,,
"Costa Rica","Trade union density rate (%)","HS - National Household Survey","2010",12.83,,
"Curaçao","Trade union density rate (%)","LFS - Labour Force Survey","2018",23.49,,
"Cyprus","Trade union density rate (%)","OS - Estimates based on Trade Union Registrar","2016",43.28,"Trade union membership coverage: Adjusted for the right to unionize",
"Cyprus","Trade union density rate (%)","OS - Estimates based on Trade Union Registrar","2015",43.58,"Trade union membership coverage: Adjusted for the right to unionize",
"Cyprus","Trade union density rate (%)","OS - Estimates based on Trade Union Registrar","2014",45.81,"Trade union membership coverage: Adjusted for the right to unionize",
"Cyprus","Trade union density rate (%)","OS - Estimates based on Trade Union Registrar","2013",46.62,"Trade union membership coverage: Adjusted for the right to unionize",
"Cyprus","Trade union density rate (%)","OS - Estimates based on Trade Union Registrar","2012",45.37,"Trade union membership coverage: Adjusted for the right to unionize",
"Cyprus","Trade union density rate (%)","OS - Estimates based on Trade Union Registrar","2011",45.6,"Trade union membership coverage: Adjusted for the right to unionize",
"Cyprus","Trade union density rate (%)","OS - Estimates based on Trade Union Registrar","2010",48.03,"Trade union membership coverage: Adjusted for the right to unionize",
"Czechia","Trade union density rate (%)","ADM-RWO - Estimations based on self-reported membership of the main union confederations","2018",11.38,,
"Czechia","Trade union density rate (%)","ADM-RWO - Estimations based on self-reported membership of the main union confederations","2017",11.66,,
"Czechia","Trade union density rate (%)","ADM-RWO - Estimations based on self-reported membership of the main union confederations","2016",11.92,"Trade union membership coverage: Adjusted for the right to unionize",
"Czechia","Trade union density rate (%)","ADM-RWO - Estimations based on self-reported membership of the main union confederations","2015",11.92,"Trade union membership coverage: Adjusted for the right to unionize",
"Czechia","Trade union density rate (%)","ADM-RWO - Estimations based on self-reported membership of the main union confederations","2014",12.86,"Trade union membership coverage: Adjusted for the right to unionize",
"Czechia","Trade union density rate (%)","ADM-RWO - Estimations based on self-reported membership of the main union confederations","2013",13.57,"Trade union membership coverage: Adjusted for the right to unionize",
"Czechia","Trade union density rate (%)","ADM-RWO - Estimations based on self-reported membership of the main union confederations","2012",14.81,"Trade union membership coverage: Adjusted for the right to unionize",
"Czechia","Trade union density rate (%)","ADM-RWO - Estimations based on self-reported membership of the main union confederations","2011",15.43,"Trade union membership coverage: Adjusted for the right to unionize",
"Czechia","Trade union density rate (%)","ADM-RWO - Estimations based on self-reported membership of the main union confederations","2010",16.15,"Trade union membership coverage: Adjusted for the right to unionize",
"Germany","Trade union density rate (%)","ADM-RWO - Records of union federations and independent unions","2019",16.25,"Trade union membership coverage: Adjusted for the right to unionize",
"Germany","Trade union density rate (%)","ADM-RWO - Records of union federations and independent unions","2018",16.54,"Trade union membership coverage: Adjusted for the right to unionize",
"Germany","Trade union density rate (%)","ADM-RWO - Records of union federations and independent unions","2017",16.68,"Trade union membership coverage: Adjusted for the right to unionize",
"Germany","Trade union density rate (%)","ADM-RWO - Records of union federations and independent unions","2016",16.96,"Trade union membership coverage: Adjusted for the right to unionize",
"Germany","Trade union density rate (%)","ADM-RWO - Records of union federations and independent unions","2015",17.53,"Trade union membership coverage: Adjusted for the right to unionize",
"Germany","Trade union density rate (%)","ADM-RWO - Records of union federations and independent unions","2014",17.69,"Trade union membership coverage: Adjusted for the right to unionize",
"Germany","Trade union density rate (%)","ADM-RWO - Records of union federations and independent unions","2013",17.94,"Trade union membership coverage: Adjusted for the right to unionize",
"Germany","Trade union density rate (%)","ADM-RWO - Records of union federations and independent unions","2012",18.24,"Trade union membership coverage: Adjusted for the right to unionize",
"Germany","Trade union density rate (%)","ADM-RWO - Records of union federations and independent unions","2011",18.39,"Trade union membership coverage: Adjusted for the right to unionize",
"Germany","Trade union density rate (%)","ADM-RWO - Records of union federations and independent unions","2010",18.84,"Trade union membership coverage: Adjusted for the right to unionize",
"Denmark","Trade union density rate (%)","ADM-RWO - Membership of Workers' Organizations","2019",66.98,"Trade union membership coverage: Adjusted for the right to unionize",
"Denmark","Trade union density rate (%)","ADM-RWO - Membership of Workers' Organizations","2018",67.55,"Trade union membership coverage: Adjusted for the right to unionize",
"Denmark","Trade union density rate (%)","ADM-RWO - Membership of Workers' Organizations","2017",66.74,"Trade union membership coverage: Adjusted for the right to unionize",
"Denmark","Trade union density rate (%)","ADM-RWO - Membership of Workers' Organizations","2016",67.36,"Trade union membership coverage: Adjusted for the right to unionize",
"Denmark","Trade union density rate (%)","ADM-RWO - Membership of Workers' Organizations","2015",68.19,"Trade union membership coverage: Adjusted for the right to unionize",
"Denmark","Trade union density rate (%)","ADM-RWO - Membership of Workers' Organizations","2014",68.46,"Trade union membership coverage: Adjusted for the right to unionize",
"Denmark","Trade union density rate (%)","ADM-RWO - Membership of Workers' Organizations","2013",68.84,"Trade union membership coverage: Adjusted for the right to unionize",
"Denmark","Trade union density rate (%)","ADM-RWO - Membership of Workers' Organizations","2012",69.01,"Trade union membership coverage: Adjusted for the right to unionize",
"Denmark","Trade union density rate (%)","ADM-RWO - Membership of Workers' Organizations","2011",68.72,"Trade union membership coverage: Adjusted for the right to unionize",
"Denmark","Trade union density rate (%)","ADM-RWO - Membership of Workers' Organizations","2010",68.14,"Trade union membership coverage: Adjusted for the right to unionize",
"Dominican Republic","Trade union density rate (%)","LFS - National Labour Force Survey","2019",7.49,,
"Dominican Republic","Trade union density rate (%)","LFS - National Labour Force Survey","2018",7.46,,
"Dominican Republic","Trade union density rate (%)","LFS - National Labour Force Survey","2017",7.61,,
"Dominican Republic","Trade union density rate (%)","LFS - National Labour Force Survey","2016",6.58,,
"Dominican Republic","Trade union density rate (%)","LFS - National Labour Force Survey","2015",5.62,,
"Dominican Republic","Trade union density rate (%)","LFS - National Labour Force Survey","2014",9.84,,
"Dominican Republic","Trade union density rate (%)","LFS - National Labour Force Survey","2013",11.06,,
"Dominican Republic","Trade union density rate (%)","LFS - National Labour Force Survey","2012",10.32,,
"Dominican Republic","Trade union density rate (%)","LFS - National Labour Force Survey","2011",9.23,,
"Dominican Republic","Trade union density rate (%)","LFS - National Labour Force Survey","2010",9.2,,
"Egypt","Trade union density rate (%)","LFS - Labour Force Sample Survey","2010",23.8,,
"Spain","Trade union density rate (%)","ADM-RWO - Records of main union confederations and independent unions","2019",12.45,"Trade union membership coverage: Adjusted for the right to unionize",
"Spain","Trade union density rate (%)","ADM-RWO - Records of main union confederations and independent unions","2018",12.97,"Trade union membership coverage: Adjusted for the right to unionize",
"Spain","Trade union density rate (%)","ADM-RWO - Records of main union confederations and independent unions","2017",13.4,"Trade union membership coverage: Adjusted for the right to unionize",
"Spain","Trade union density rate (%)","ADM-RWO - Records of main union confederations and independent unions","2016",13.95,"Trade union membership coverage: Adjusted for the right to unionize",
"Spain","Trade union density rate (%)","ADM-RWO - Records of main union confederations and independent unions","2015",14.45,"Trade union membership coverage: Adjusted for the right to unionize",
"Spain","Trade union density rate (%)","ADM-RWO - Records of main union confederations and independent unions","2014",15.81,"Trade union membership coverage: Adjusted for the right to unionize",
"Spain","Trade union density rate (%)","ADM-RWO - Records of main union confederations and independent unions","2013",17.04,"Trade union membership coverage: Adjusted for the right to unionize",
"Spain","Trade union density rate (%)","ADM-RWO - Records of main union confederations and independent unions","2012",17.77,"Trade union membership coverage: Adjusted for the right to unionize",
"Spain","Trade union density rate (%)","ADM-RWO - Records of main union confederations and independent unions","2011",17.93,"Trade union membership coverage: Adjusted for the right to unionize",
"Spain","Trade union density rate (%)","ADM-RWO - Records of main union confederations and independent unions","2010",18.18,"Trade union membership coverage: Adjusted for the right to unionize",
"Estonia","Trade union density rate (%)","LFS - Labour Force Survey","2019",6.02,"Trade union membership coverage: Adjusted for the right to unionize",
"Estonia","Trade union density rate (%)","LFS - Labour Force Survey","2018",5.89,"Trade union membership coverage: Adjusted for the right to unionize",
"Estonia","Trade union density rate (%)","LFS - Labour Force Survey","2017",4.67,"Trade union membership coverage: Adjusted for the right to unionize",
"Estonia","Trade union density rate (%)","LFS - Labour Force Survey","2016",5.05,"Trade union membership coverage: Adjusted for the right to unionize",
"Estonia","Trade union density rate (%)","LFS - Labour Force Survey","2015",4.49,"Trade union membership coverage: Adjusted for the right to unionize",
"Estonia","Trade union density rate (%)","LFS - Labour Force Survey","2014",5.29,"Trade union membership coverage: Adjusted for the right to unionize",
"Estonia","Trade union density rate (%)","LFS - Labour Force Survey","2013",5.63,"Trade union membership coverage: Adjusted for the right to unionize",
"Estonia","Trade union density rate (%)","LFS - Labour Force Survey","2012",6.02,"Trade union membership coverage: Adjusted for the right to unionize",
"Estonia","Trade union density rate (%)","LFS - Labour Force Survey","2011",6.98,"Trade union membership coverage: Adjusted for the right to unionize",
"Estonia","Trade union density rate (%)","LFS - Labour Force Survey","2010",8.18,"Trade union membership coverage: Adjusted for the right to unionize",
"Ethiopia","Trade union density rate (%)","ADM - Administrative records and related sources","2019",9.35,"Trade union membership coverage: Adjusted for the right to unionize",
"Ethiopia","Trade union density rate (%)","ADM - Administrative records and related sources","2018",8.84,"Trade union membership coverage: Adjusted for the right to unionize",
"Ethiopia","Trade union density rate (%)","ADM - Administrative records and related sources","2017",8.81,"Trade union membership coverage: Adjusted for the right to unionize",
"Ethiopia","Trade union density rate (%)","ADM - Administrative records and related sources","2016",8.62,"Trade union membership coverage: Adjusted for the right to unionize",
"Ethiopia","Trade union density rate (%)","ADM - Administrative records and related sources","2015",8.47,,
"Ethiopia","Trade union density rate (%)","ADM - Administrative records and related sources","2014",8.08,,
"Ethiopia","Trade union density rate (%)","ADM - Administrative records and related sources","2013",8.21,,
"Ethiopia","Trade union density rate (%)","ADM - Administrative records and related sources","2012",8.16,,
"Ethiopia","Trade union density rate (%)","ADM - Administrative records and related sources","2011",8.14,,
"Ethiopia","Trade union density rate (%)","ADM - Administrative records and related sources","2010",7.89,,
"Finland","Trade union density rate (%)","ADM - Trade unions records","2019",58.83,"Trade union membership coverage: Refers only to the two main union confederations",
"Finland","Trade union density rate (%)","ADM - Trade unions records","2018",59.99,"Trade union membership coverage: Refers only to the two main union confederations",
"Finland","Trade union density rate (%)","ADM - Trade unions records","2017",62.89,"Trade union membership coverage: Refers only to the two main union confederations",
"Finland","Trade union density rate (%)","ADM - Trade unions records","2016",65.67,"Trade union membership coverage: Adjusted for the right to unionize",
"Finland","Trade union density rate (%)","ADM - Trade unions records","2015",67.55,"Trade union membership coverage: Adjusted for the right to unionize",
"Finland","Trade union density rate (%)","ADM - Trade unions records","2014",67.77,"Trade union membership coverage: Adjusted for the right to unionize",
"Finland","Trade union density rate (%)","ADM - Trade unions records","2013",67.52,"Trade union membership coverage: Adjusted for the right to unionize",
"Finland","Trade union density rate (%)","ADM - Trade unions records","2012",69.18,"Trade union membership coverage: Adjusted for the right to unionize",
"Finland","Trade union density rate (%)","ADM - Trade unions records","2011",69.64,"Trade union membership coverage: Adjusted for the right to unionize",
"Finland","Trade union density rate (%)","ADM - Trade unions records","2010",71.39,"Trade union membership coverage: Adjusted for the right to unionize",
"Fiji","Trade union density rate (%)","LFS - Employment, Unemployment Survey","2016",13.18,,
"Fiji","Trade union density rate (%)","LFS - Employment, Unemployment Survey","2011",19.29,,
"France","Trade union density rate (%)","OS - Estimations based on self-reported membership and financial statistics of confederations and independent unions","2018",8.89,"Trade union membership coverage: Adjusted for the right to unionize",
